text
mas variedad cursos informarnos tramite inscripcion reinscripcion
 cumplan asesorias solicitadas tutor grupal pasen alto
mayor informacion respectiva tutoria
analizar situacion encuentran terceras oportunidades
apoyar pocas materias egresar
 tutores visitado aulas podido resolver dudas surgido pues carecen informacion correspondiente programa educativo
 seguimiento estudiantil
mejorar atencion tutores asignados
 desarrollo planes orientacion apropiada 
mejor apoyo irregulares cuanto planeacion asignaturas
mas conocimiento momento cargar materias
mas informacion acerca eleccion materias
 gustaria mas tutoria cuanto oportunidades 
apoyar jovenes problemas academicos aunque calculo considero sabe ensenar adecuadamente
horarios disponibilidad mas frecuentes asesoria
mayor asesoria
mejor asesorias academicas
 asesorias tiempo momento acercan evaluaciones
 inicio primer semestre den asesoria seran materias requiere cuestion tiempo desempeno
mas libros lenguaje programacion
mas libros materias dificiles mecanica vectorial libros literatura puedan sacarse mas veces
 buscador encontrar material biblioteca creo completo actualizado libros revistas encuentran ahi aparecen sistema libros muchas veces estan colocados materias puede encontrar material sola materias pasillos ver resto
 variedad cantidad libros novelas complementarios licenciatura
mas tiempo prestamo libros
mejorar tiempo prestamos libros biblioteca
ampliar horario biblioteca
 horario biblioteca
mejor atencion biblioteca
 equipo computo biblioteca insuficiente ocasiones
incrementar temperatura biblioteca
revisar continuamente computadoras biblioteca esten bloqueadas
 material biblioteca parece 
cerrar mas tarde biblioteca
mas libros biblioteca matematicas ingenieria
 personal biblioteca ser mas amable menos despota
 suficientes computadoras biblioteca temporada parciales
 cafeteria ofrece productos saludables caros mal hechos mobiliario suficiente comer obliga comer areas aledanas salones clases pasillos
cerrar mas tarde cafeteria
ampliar menu cafeteria
ampliar cafeteria precios mas accesibles
 cafeteria cada vez peor mesas sillas mal gente trabaja ahi musica ponen insoportable desagradable cafeteria
 verdad verdad mejor precios alimentos menos si van venderlo caro minimo calidad 
mas opciones calidad alimentos cafeteria
mas variedad cafeteria
mejor alimentos cafeteria
solo cambiar precios menus cafeteria considero mas flexible bolsillo
tener mejor servicio cafeteria
 mayor variedad bebidas cafeteria
 mejor areas cafeteria
 mejor cafeteria dan servicio pesimo calidad 
 mejor cafeteria
unicamente precios cafeteria precios altos alimentos buena calidad mejor ir comer lugares externos 
bajar precios cafeteria asi hacer mas grande cafeteria
cambiar cafeteria 
alimentos calidad cafeteria
ampliar cafeteria
analizar precios cafeteria verificar reduccion
mejorar calidad alimentos cafeteria
bajar precios cafeteria caro
bajar precios cafeteria
bajar precios productos ofrecidos cafeteria
bajar precios cafeteria
bajar precios cafeteria tener mac salones computo
cafeteria
cafeteria
calidad alimentos cafeteria
calidad cafeteria precios justos
cambiar personal cargo cafeteria siempre dan mal servicio precios elevados
